v_bin,n_records,power_mean,power_std,power_p25,power_p75,Cp,year
9.75,695,1255.0435824874712,89.74711366213197,1192.33082275391,1315.7810469002561,0.41862126051092785,2019
10.25,889,1388.9499176692768,91.6303680330692,1329.48467203776,1450.58959750472,0.39874138315660274,2019
10.75,1033,1529.67723082418,92.2998755456914,1466.42560866783,1591.77118530274,0.38067182164627233,2019
11.25,1038,1651.4889395287594,95.60958709975714,1595.393706486147,1713.4855600992826,0.35858690263528264,2019
11.75,937,1751.5237455583654,101.5633350739657,1683.03740641276,1822.83991699219,0.33379417259947264,2019
12.25,902,1842.9730855050352,91.48909436999483,1784.947297159835,1909.035744222005,0.30994672201090545,2019
12.75,771,1903.442953750421,80.10771160183721,1850.55236206055,1964.39881591797,0.2839132309610869,2019
13.25,639,1944.9488063068522,74.98828476470511,1897.309474690755,2003.38392537435,0.25848590155294016,2019
13.75,571,1977.6696959287945,57.30219001647167,1947.11819458008,2021.9169128418,0.2351916967003606,2019
14.25,474,1995.9852708446026,47.35739820324027,1974.905674235025,2030.2266918475875,0.2132500098652772,2019
14.75,432,2008.498810591322,42.4527465775907,1989.1576995849607,2038.29352482387,0.19349593190917602,2019
15.25,379,2016.8857049132152,33.249463500919866,2001.9738179524752,2039.7078206380238,0.175811823180217,2019
15.75,346,2021.1072433037034,32.30890656913335,2011.1067331949926,2041.058074951175,0.15992781543867854,2019
16.25,276,2028.177717549265,26.715254086494213,2016.9101806640651,2045.4241729736343,0.14612422874687794,2019
16.75,266,2031.306754450056,24.14447724425922,2023.659232584635,2047.2822733561225,0.13363105568161995,2019
17.25,235,2035.049584294232,20.601601634547176,2026.7367248535152,2048.028061930345,0.12256995254222158,2019
17.75,191,2037.913853611404,18.010301277035367,2030.8785095214898,2049.787123616535,0.11265930566333227,2019
18.25,153,2039.4028851074354,14.660324514385968,2033.58352976832,2049.66564534505,0.10372674358819879,2019
18.75,151,2041.579323770412,13.078915920496966,2034.2826334635452,2050.4606909179747,0.09574999574823417,2019
19.25,126,2042.1397378488446,12.36175835260279,2037.1749135335276,2050.0138868543877,0.08850536054476803,2019
19.75,117,2043.0699148595345,12.87721977381993,2035.53377685547,2051.35836588542,0.08198950220054624,2019
20.25,76,2044.812347679156,10.250459496362328,2039.1874206543,2051.9363708496076,0.07612980145582393,2019
20.75,57,2047.004025032467,13.893444464111951,2041.45030924479,2056.00260823568,0.0708338282837146,2019
21.25,53,2045.1067583444606,12.587299991067773,2037.48757324219,2054.15576171875,0.06588939222792259,2019
21.75,48,2049.9563862317777,9.127291606988122,2044.1290161132824,2055.6398925781277,0.06159467361812169,2019
22.25,28,2045.9673475393936,13.2395514381066,2041.57532348633,2053.6403898041876,0.05742288037167873,2019
22.75,34,2047.4399743912868,14.311952320165519,2041.6937561035156,2057.240380859375,0.053758023906058536,2019
23.25,24,2048.317811693883,12.781279454230317,2041.8440032958988,2059.4719644480774,0.05038540928144595,2019
23.75,23,2046.7119470538182,15.427669037662207,2041.623464930745,2056.2775716145825,0.047232638158015254,2019
24.25,6,2059.1082283141136,4.371424710440402,2056.789075724284,2059.3348138718425,0.04463959709123097,2019
24.75,3,2057.920982530382,9.903836023741295,2052.4837687174477,2062.1722412109375,0.0419642442622917,2019
1.25,189,-1.4340489671988605,0.5289555005764779,-1.5751127826756437,-1.0986543635527295,,2020
1.75,634,-1.3538742015750436,0.4522736267652073,-1.5075757705384776,-1.0582506364583968,,2020
2.25,1072,-1.6044952773372123,0.6492428505282224,-1.764062232417721,-1.2192192314171242,,2020
2.75,1606,-1.8347681293964806,0.9511382277223902,-1.9582117825746534,-1.4483636299769092,,2020
3.25,1758,-2.1492670903156563,2.7869696987963177,-2.571114376187325,-1.5295813291751112,,2020
3.75,1908,6.569060378140259,11.440507788595964,-2.0348456860616295,13.419589814826333,0.03851108648788637,2020
4.25,2529,41.63464129773436,21.48517165470574,26.59311676422755,56.640298702319456,0.1676734722736433,2020
4.75,2753,90.64587777907069,27.93109960304719,71.39030330181124,108.9453222656251,0.26148305528640303,2020
