v_bin,n_records,power_mean,power_std,power_p10,power_p90,v_mean,Cp,turbine_id
23.75,34,2046.7995942782009,26.35324698657144,2031.906870524089,2064.240316569014,23.504487952450294,0.047234660821556536,T01
24.25,6,2045.7415109785798,8.582278110754231,2036.94247639974,2053.352559407554,24.018600909134523,0.04434981879396335,T01
24.75,8,2050.5109335537636,15.052972392057503,2034.709171142581,2068.075362955733,24.521695770457725,0.04181314171370502,T01
1.25,205,-1.341783071752261,0.6569513115178593,-2.000920491615931,-0.7656690546728315,1.1263910278339964,,T02
1.75,664,-1.3596390699433076,0.6799771801388549,-1.9970683517058694,-0.7786610499538219,1.5221314263683063,,T02
2.25,1161,-1.5729920338632268,0.8288107616517805,-2.411830390875156,-0.8543358897340709,2.0133004679135804,,T02
2.75,1775,-1.826618629956357,1.0413085951232801,-3.0226687526702873,-1.0337096283833171,2.5135800344841606,,T02
3.25,2029,-2.1168658080724274,2.497179123168989,-4.277433738009683,-1.1324108059789941,2.993300282418264,,T02
3.75,2026,4.147513922257831,9.99889908855876,-4.453230206171672,18.85942253683295,3.5116201044216298,0.024314781441391375,T02
4.25,2466,36.28063209339169,22.167825387903562,6.522634492175918,65.80874034563703,3.996793561628103,0.14611149201164367,T02
4.75,2686,85.38351438157926,28.928099505204617,47.50556759238241,122.59369403356794,4.502603804150753,0.2463028960456581,T02
5.25,2711,145.79552907272205,34.122099768587596,102.94683198271127,189.22749938964844,4.997309748022698,0.311488929966307,T02
5.75,2618,217.6509585149417,38.57309427308175,169.63552652994792,267.34015734354665,5.501666636283958,0.3539430352309222,T02
6.25,2706,299.4786711971435,45.83647356048365,237.8596430460613,358.9196076228701,6.001685576471516,0.37922954612564735,T02
6.75,2540,397.7394531016062,55.52024976910874,330.5128612334153,467.99668441968066,6.497671610255087,0.3998192264506797,T02
7.25,2509,502.7968868761005,66.5699486625937,430.2592629478718,582.2014948730471,6.992680240898474,0.40790110437777205,T02
7.75,2257,626.8624046293982,80.81063492153612,540.6045070975168,718.7772520751954,7.493539695979194,0.4163354940733897,T02
