image,T-LE,M-LE,R-LE,T-Body,M-Body,R-Body
DJI_0053_2_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_0_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_0_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_0_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_1_3.JPG,0.0,0.02920748320626,0.0,0.0,0.0,0.0
DJI_0054_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0054_2_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_0_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_0_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_0_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_0_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_0_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_0_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_1_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_1_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_1_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_1_3.JPG,0.0,0.04601432661506,0.0,0.0,0.0,0.0
DJI_0055_1_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_1_5.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_2_0.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_2_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_2_2.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_2_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0
DJI_0055_2_4.JPG,0.0,0.0,0.0,0.0,0.0,0.0
